Programma;Zender;Datum;Start;Duur;Kijkcijfers;ranking;period;reportType
VB. BB. 1/4F - CL.BRUGGE/LEUVEN;VTM2;2025-01-07;1245;96;238894;17;daily;north
#LIKEME;KETNET;2025-01-08;1128;26;368308;12;daily;north
BIG BROTHER;PLAY4;2025-01-08;1342;57;242639;19;daily;north
HUIZENJAGERS;PLAY4;2025-01-08;1217;46;257200;18;daily;north
BLOKKEN;VRT 1;2025-01-08;1109;28;629349;7;daily;north
DAGELIJKSE KOST;VRT 1;2025-01-08;1090;16;380672;11;daily;north
DE DAG VAN VANDAAG;VRT 1;2025-01-08;1318;46;622587;8;daily;north
HET 1 UUR-JOURNAAL;VRT 1;2025-01-08;780;25;464790;9;daily;north
HET 7 UUR-JOURNAAL;VRT 1;2025-01-08;1140;45;1004398;3;daily;north
HET JOURNAAL LAAT;VRT 1;2025-01-08;1367;31;304634;14;daily;north
IK VRAAG HET AAN;VRT 1;2025-01-08;1252;65;880134;4;daily;north
PROFESSOR T.;VRT 1;2025-01-08;1032;48;230002;20;daily;north
THUIS;VRT 1;2025-01-08;1226;24;1026932;1;daily;north
WINWIN;VRT 1;2025-01-08;1188;27;1012731;2;daily;north
TER ZAKE;VRT CANVAS;2025-01-08;1200;30;273686;16;daily;north
VB. BB. 1/4F - ANTWERP/UNION ST-GILLOISE;VRT CANVAS;2025-01-08;1246;95;258962;17;daily;north
FAMILIE;VTM;2025-01-08;1208;25;653759;6;daily;north
HELDEN VAN HIER, DE MUG;VTM;2025-01-08;1316;47;323008;13;daily;north
MILO;VTM;2025-01-08;1107;22;302277;15;daily;north
NIEUWS 19U VTM;VTM;2025-01-08;1140;55;654619;5;daily;north
SERGIO OVER DE GRENS;VTM;2025-01-08;1243;55;456477;10;daily;north
BIG BROTHER;PLAY4;2025-01-09;1357;57;260760;18;daily;north
HUIZENJAGERS;PLAY4;2025-01-09;1212;47;287079;15;daily;north
JAMES & CO;PLAY4;2025-01-09;1275;65;628498;8;daily;north
BLOKKEN;VRT 1;2025-01-09;1108;28;656773;7;daily;north
DAGELIJKSE KOST;VRT 1;2025-01-09;1088;15;343170;13;daily;north
DE DAG VAN VANDAAG;VRT 1;2025-01-09;1298;48;681233;5;daily;north
DE RUGZAK;VRT 1;2025-01-09;1250;44;947950;4;daily;north
HET 1 UUR-JOURNAAL;VRT 1;2025-01-09;780;28;373111;12;daily;north
HET 7 UUR-JOURNAAL;VRT 1;2025-01-09;1140;48;977016;3;daily;north
HET JOURNAAL LAAT;VRT 1;2025-01-09;1350;24;379768;11;daily;north
THUIS;VRT 1;2025-01-09;1223;25;1052454;1;daily;north
WINWIN;VRT 1;2025-01-09;1190;26;1014061;2;daily;north
DE AFSPRAAK;VRT CANVAS;2025-01-09;1237;46;228812;19;daily;north
BOER ZKT VROUW;VTM;2025-01-09;1245;58;519911;10;daily;north
FAMILIE;VTM;2025-01-09;1210;25;588024;9;daily;north
MILO;VTM;2025-01-09;1107;21;281054;16;daily;north
MOORDZAKEN, EEUWIGE TWIJFEL?;VTM;2025-01-09;1324;52;293675;14;daily;north
NIEUWS 13U VTM;VTM;2025-01-09;780;29;263296;17;daily;north
NIEUWS 19U VTM;VTM;2025-01-09;1140;57;660501;6;daily;north
VB. BB. 1/4F - BEERSCHOT/ANDERLECHT;VTM2;2025-01-09;1232;99;222580;20;daily;north
BIG BROTHER;PLAY4;2025-01-10;1233;57;281962;13;daily;north
BLOKKEN;VRT 1;2025-01-10;1108;28;600411;6;daily;north
DAGELIJKSE KOST;VRT 1;2025-01-10;1090;15;345752;11;daily;north
DE HELDEN VAN ARNOUT;VRT 1;2025-01-10;1293;52;405601;8;daily;north
FLIKKEN MAASTRICHT;VRT 1;2025-01-10;876;42;174013;19;daily;north
HET 1 UUR-JOURNAAL;VRT 1;2025-01-10;780;28;397214;10;daily;north
HET 7 UUR-JOURNAAL;VRT 1;2025-01-10;1140;46;927682;2;daily;north
HET JOURNAAL LAAT;VRT 1;2025-01-10;1348;27;233176;15;daily;north
PROFESSOR T.;VRT 1;2025-01-10;1029;52;212450;16;daily;north
THE REPAIR SHOP;VRT 1;2025-01-10;1250;41;537705;7;daily;north
THUIS;VRT 1;2025-01-10;1223;24;994813;1;daily;north
WINWIN;VRT 1;2025-01-10;1188;25;872259;3;daily;north
DE AFSPRAAK;VRT CANVAS;2025-01-10;1236;55;234848;14;daily;north
MCDONALD & DODDS;VRT CANVAS;2025-01-10;1294;87;401457;9;daily;north
TER ZAKE;VRT CANVAS;2025-01-10;1200;33;174743;18;daily;north
TROM;VRT CANVAS;2025-01-10;1386;41;166872;20;daily;north
FAMILIE;VTM;2025-01-10;1210;26;647444;4;daily;north
LIEVEN SCHEIRE, AI;VTM;2025-01-10;1246;81;317743;12;daily;north
NIEUWS 13U VTM;VTM;2025-01-10;780;30;202181;17;daily;north
NIEUWS 19U VTM;VTM;2025-01-10;1140;57;613931;5;daily;north
